,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,song_id,youtube_link,output_file,title,BPM,key,beat_frames,beat_times
0,0.0,0.0,0.0,0.0,0.0,0.0,ogv284C4W30,https://www.youtube.com/watch?v=ogv284C4W30,"Kygo, Sasha Sloan - I'll Wait (Lyric Video)-ogv284C4W30.wav","Kygo, Sasha Sloan - I'll Wait (Lyric Video)",123.046875,C# Maj,"[ 1114  1157  1201  1240  1283  1329  1370  1411  1455  1500  1536  1578
  1619  1661  1706  1744  1781  1826  1864  1904  1940  1976  2017  2059
  2101  2137  2184  2228  2270  2312  2353  2395  2437  2479  2526  2574
  2620  2666  2710  2747  2787  2827  2870  2912  2954  2995  3036  3074
  3119  3164  3203  3242  3281  3320  3360  3401  3444  3479  3518  3561
  3602  3642  3682  3722  3762  3802  3844  3887  3929  3971  4011  4055
  4097  4139  4180  4223  4262  4307  4349  4391  4433  4475  4516  4559
  4601  4643  4684  4727  4769  4811  4851  4895  4937  4979  5020  5063
  5106  5149  5190  5233  5275  5317  5358  5401  5442  5480  5518  5566
  5607  5651  5693  5735  5778  5818  5862  5905  5947  5988  6030  6074
  6115  6157  6193  6237  6282  6324  6366  6407  6450  6492  6533  6576
  6618  6660  6702  6744  6786  6828  6870  6912  6954  6997  7038  7080
  7122  7164  7207  7248  7290  7332  7374  7416  7458  7500  7543  7584
  7626  7668  7711  7753  7795  7837  7878  7920  7962  8004  8046  8088
  8130  8172  8214  8256  8299  8341  8383  8425  8467  8509  8551  8593
  8635  8677  8719  8761  8803  8845  8887  8929  8971  9013  9055  9097
  9139  9181  9221  9262  9305  9347  9389  9432  9475  9518  9555  9601
  9642  9684  9722  9764  9804  9847  9890  9928  9967 10006 10044 10084
 10135 10180 10223 10265 10307 10349 10391 10433 10472 10512 10557 10597
 10635 10673 10712 10754 10795 10834 10869 10904 10946 10988 11030 11069
 11113 11156 11197 11239 11282 11321 11366 11408 11450 11491 11533 11575
 11618 11660 11702 11743 11786 11828 11870 11910 11954 11996 12038 12081
 12124 12166 12208 12249 12291 12333 12375 12417 12459 12501 12539 12577
 12625 12665 12709 12752 12794 12837 12876 12920 12963 13005 13047 13089
 13132 13173 13215 13252 13296 13340 13382 13425 13466 13509 13551 13594
 13636 13677 13719 13761 13803 13844 13886 13928 13971 14013 14055 14097
 14139 14179 14220 14259 14297 14349 14391 14433 14475 14517 14559 14601
 14643 14685 14727 14769 14811 14853 14895 14937 14979 15021 15063 15105
 15147 15189 15231 15273 15315 15357 15399 15441 15483 15525 15567 15609
 15651 15693 15735 15777 15819 15861 15903 15945 15987 16029 16071 16114
 16156 16198 16239 16282 16324 16366 16408 16450 16492 16534 16576 16618
 16660 16702 16744 16786 16828 16870 16912 16954 16996 17038 17080 17122
 17164 17206 17248 17290 17332 17374 17416 17458 17500 17542 17584 17625
 17668 17710 17752 17789 17826 17868 17911 17954 18002 18043 18086 18129
 18172 18215 18254 18297 18341 18382 18425 18466 18511 18554 18593 18629
 18672 18716 18755 18796 18842 18887 18928]","[ 12.93351474  13.43274376  13.94358277  14.39637188  14.89560091
  15.42965986  15.90566893  16.381678    16.89251701  17.41496599
  17.83292517  18.32054422  18.79655329  19.28417234  19.80662132
  20.24780045  20.67736961  21.19981859  21.64099773  22.10539683
  22.52335601  22.94131519  23.41732426  23.90494331  24.39256236
  24.81052154  25.35619048  25.86702948  26.35464853  26.84226757
  27.31827664  27.80589569  28.29351474  28.78113379  29.32680272
  29.88408163  30.41814059  30.95219955  31.46303855  31.89260771
  32.3570068   32.8214059   33.32063492  33.80825397  34.29587302
  34.77188209  35.24789116  35.68907029  36.21151927  36.73396825
  37.18675737  37.63954649  38.0923356   38.54512472  39.00952381
  39.48553288  39.9847619   40.39111111  40.84390023  41.34312925
  41.81913832  42.28353741  42.74793651  43.2123356   43.67673469
  44.14113379  44.62875283  45.12798186  45.61560091  46.10321995
  46.56761905  47.07845805  47.5660771   48.05369615  48.52970522
  49.02893424  49.48172336  50.00417234  50.49179138  50.97941043
  51.46702948  51.95464853  52.4306576   52.92988662  53.41750567
  53.90512472  54.38113379  54.88036281  55.36798186  55.85560091
  56.32        56.830839    57.31845805  57.8060771   58.28208617
  58.78131519  59.28054422  59.77977324  60.25578231  60.75501134
  61.24263039  61.73024943  62.2062585   62.70548753  63.1814966
  63.62267574  64.06385488  64.62113379  65.09714286  65.60798186
  66.09560091  66.58321995  67.08244898  67.54684807  68.05768707
  68.5569161   69.04453515  69.52054422  70.00816327  70.51900227
  70.99501134  71.48263039  71.90058957  72.41142857  72.93387755
  73.4214966   73.90911565  74.38512472  74.88435374  75.37197279
  75.84798186  76.34721088  76.83482993  77.32244898  77.81006803
  78.29768707  78.78530612  79.27292517  79.76054422  80.24816327
  80.73578231  81.23501134  81.71102041  82.19863946  82.6862585
  83.17387755  83.67310658  84.14911565  84.63673469  85.12435374
  85.61197279  86.09959184  86.58721088  87.07482993  87.57405896
  88.05006803  88.53768707  89.02530612  89.52453515  90.0121542
  90.49977324  90.98739229  91.46340136  91.95102041  92.43863946
  92.9262585   93.41387755  93.9014966   94.38911565  94.87673469
  95.36435374  95.85197279  96.35120181  96.83882086  97.32643991
  97.81405896  98.301678    98.78929705  99.2769161   99.76453515
 100.2521542  100.73977324 101.22739229 101.71501134 102.20263039
 102.69024943 103.17786848 103.66548753 104.15310658 104.64072562
 105.12834467 105.61596372 106.10358277 106.59120181 107.05560091
 107.53160998 108.030839   108.51845805 109.0060771  109.50530612
 110.00453515 110.50376417 110.93333333 111.46739229 111.94340136
 112.43102041 112.87219955 113.35981859 113.82421769 114.32344671
 114.82267574 115.26385488 115.71664399 116.16943311 116.61061224
 117.07501134 117.66712018 118.18956916 118.68879819 119.17641723
 119.66403628 120.15165533 120.63927438 121.12689342 121.57968254
 122.04408163 122.56653061 123.03092971 123.47210884 123.91328798
 124.3660771  124.85369615 125.32970522 125.78249433 126.18884354
 126.59519274 127.08281179 127.57043084 128.05804989 128.510839
 129.021678   129.52090703 129.9969161  130.48453515 130.98376417
 131.43655329 131.95900227 132.44662132 132.93424036 133.41024943
 133.89786848 134.38548753 134.88471655 135.3723356  135.85995465
 136.33596372 136.83519274 137.32281179 137.81043084 138.27482993
 138.78566893 139.27328798 139.76090703 140.26013605 140.75936508
 141.24698413 141.73460317 142.21061224 142.69823129 143.18585034
 143.67346939 144.16108844 144.64870748 145.13632653 145.57750567
 146.01868481 146.57596372 147.04036281 147.55120181 148.05043084
 148.53804989 149.03727891 149.49006803 150.00090703 150.50013605
 150.9877551  151.47537415 151.9629932  152.46222222 152.93823129
 153.42585034 153.8554195  154.3662585  154.87709751 155.36471655
 155.86394558 156.33995465 156.83918367 157.32680272 157.82603175
 158.31365079 158.78965986 159.27727891 159.76489796 160.25251701
 160.72852608 161.21614512 161.70376417 162.2029932  162.69061224
 163.17823129 163.66585034 164.15346939 164.61786848 165.09387755
 165.54666667 165.9878458  166.59156463 167.07918367 167.56680272
 168.05442177 168.54204082 169.02965986 169.51727891 170.00489796
 170.49251701 170.98013605 171.4677551  171.95537415 172.4429932
 172.93061224 173.41823129 173.90585034 174.39346939 174.88108844
 175.36870748 175.85632653 176.34394558 176.83156463 177.31918367
 177.80680272 178.29442177 178.78204082 179.26965986 179.75727891
 180.24489796 180.73251701 181.22013605 181.7077551  182.19537415
 182.6829932  183.17061224 183.65823129 184.14585034 184.63346939
 185.12108844 185.60870748 186.09632653 186.58394558 187.0831746
 187.57079365 188.0584127  188.53442177 189.03365079 189.52126984
 190.00888889 190.49650794 190.98412698 191.47174603 191.95936508
 192.44698413 192.93460317 193.42222222 193.90984127 194.39746032
 194.88507937 195.37269841 195.86031746 196.34793651 196.83555556
 197.3231746  197.81079365 198.2984127  198.78603175 199.27365079
 199.76126984 200.24888889 200.73650794 201.22412698 201.71174603
 202.19936508 202.68698413 203.17460317 203.66222222 204.14984127
 204.62585034 205.12507937 205.61269841 206.10031746 206.52988662
 206.95945578 207.44707483 207.94630385 208.44553288 209.00281179
 209.47882086 209.97804989 210.47727891 210.97650794 211.47573696
 211.92852608 212.4277551  212.9385941  213.41460317 213.9138322
 214.38984127 214.91229025 215.41151927 215.86430839 216.28226757
 216.7814966  217.2923356  217.74512472 218.22113379 218.75519274
 219.27764172 219.75365079]"
1,1.0,1.0,1.0,1.0,1.0,0.0,,,056247.wav,056247,156.60511363636363,d min,"[  21   52   88  121  155  185  222  254  288  319  353  387  420  454
  487  520  551  582  618  651  685  715  751  783  818  847  883  917
  950  980 1017 1049 1082 1113 1148 1181 1215 1249 1282 1314 1348 1377
 1413 1447 1480 1514 1547 1580 1612 1642 1678 1711 1745 1775 1812 1844
 1878]","[ 0.24380952  0.60371882  1.021678    1.40480726  1.79954649  2.1478458
  2.57741497  2.94893424  3.34367347  3.70358277  4.098322    4.49306122
  4.87619048  5.27092971  5.65405896  6.03718821  6.39709751  6.7570068
  7.17496599  7.55809524  7.95283447  8.30113379  8.71909297  9.09061224
  9.49696145  9.83365079 10.25160998 10.64634921 11.02947846 11.37777778
 11.80734694 12.17886621 12.56199546 12.92190476 13.32825397 13.71138322
 14.10612245 14.50086168 14.88399093 15.2555102  15.65024943 15.98693878
 16.40489796 16.79963719 17.18276644 17.57750567 17.96063492 18.34376417
 18.71528345 19.06358277 19.48154195 19.8646712  20.25941043 20.60770975
 21.03727891 21.40879819 21.80353741]"
2,2.0,2.0,2.0,2.0,3.0,0.0,Q77vdqA0hnM,https://www.youtube.com/watch?v=Q77vdqA0hnM,Two Scoops-Q77vdqA0hnM.wav,Two Scoops,172.265625,c min,"[  62   92  122  152  182  212  242  272  300  330  362  391  420  451
  482  510  539  571  603  632  662  693  723  753  781  811  843  872
  901  931  963  991 1020 1052 1084 1113 1143 1174 1203 1233 1261 1292
 1324 1352 1382 1412 1444 1472 1501 1533 1564 1593 1624 1655 1684 1714
 1742 1772 1805 1833 1863 1893 1924 1955 1982 2014 2045 2074 2105 2135
 2165 2195 2223 2253 2285 2314 2343 2374 2405 2433 2462 2494 2526 2555
 2585 2615 2646 2676 2705 2734 2766 2795 2824 2854 2886 2914 2943 2975
 3007 3036 3066 3098 3127 3156 3184 3215 3247 3276 3305 3335 3366 3395
 3424 3456 3487 3516 3547 3577 3607 3637 3665 3695 3727 3756 3786 3816
 3847 3878 3905 3937 3968 3997 4027 4058 4088 4118 4145 4176 4208 4237
 4266 4296 4328 4356 4385 4417 4448 4478 4508 4539 4568 4598 4626 4657
 4689 4718 4747 4778 4809 4839 4866 4898 4930 4959 4989 5018 5049 5079
 5107 5137 5169 5200 5228 5259 5289 5320 5346 5379 5410 5439 5469 5501
 5530 5560 5590 5621 5650 5680 5710 5741 5771 5800 5829 5859 5890 5921
 5951 5981 6011 6041 6069 6102 6131 6160 6190 6221 6251 6279 6308 6340
 6372 6401 6431 6462 6492 6521 6549 6580 6612 6641 6671 6703 6732 6760
 6789 6821 6852 6880 6912 6943 6972 7002 7031 7063 7093 7121 7151 7184
 7213 7241 7270 7302 7333 7362 7393 7424 7453 7483 7511 7541 7574 7602
 7632 7664 7694 7723 7750 7783 7814 7843 7873 7904 7934 7964 7992 8025
 8054 8083 8113 8144 8174 8202 8231 8263 8295 8324 8355 8385 8415 8444
 8473 8503 8535 8564 8594 8626 8655 8683 8712 8744 8775 8803 8835 8866
 8895 8925 8953 8986 9016 9044 9074 9106 9135 9164 9193 9225 9256 9285
 9316 9347 9376 9406 9434 9464 9497 9525 9555 9585 9616 9645 9673 9705
 9735 9766 9796 9827 9858 9888 9917]","[  0.71981859   1.06811791   1.41641723   1.76471655   2.11301587
   2.46131519   2.80961451   3.15791383   3.4829932    3.83129252
   4.20281179   4.53950113   4.87619048   5.23609977   5.59600907
   5.92108844   6.25777778   6.62929705   7.00081633   7.33750567
   7.68580499   8.04571429   8.39401361   8.74231293   9.06739229
   9.41569161   9.78721088  10.12390023  10.46058957  10.80888889
  11.18040816  11.50548753  11.84217687  12.21369615  12.58521542
  12.92190476  13.27020408  13.63011338  13.96680272  14.31510204
  14.64018141  15.0000907   15.37160998  15.69668934  16.04498866
  16.39328798  16.76480726  17.08988662  17.42657596  17.79809524
  18.15800454  18.49469388  18.85460317  19.21451247  19.55120181
  19.89950113  20.2245805   20.57287982  20.95600907  21.28108844
  21.62938776  21.97768707  22.33759637  22.69750567  23.01097506
  23.38249433  23.74240363  24.07909297  24.43900227  24.78730159
  25.13560091  25.48390023  25.80897959  26.15727891  26.52879819
  26.86548753  27.20217687  27.56208617  27.92199546  28.24707483
  28.58376417  28.95528345  29.32680272  29.66349206  30.01179138
  30.3600907   30.72        31.06829932  31.40498866  31.741678
  32.11319728  32.44988662  32.78657596  33.13487528  33.50639456
  33.83147392  34.16816327  34.53968254  34.91120181  35.24789116
  35.59619048  35.96770975  36.30439909  36.64108844  36.9661678
  37.3260771   37.69759637  38.03428571  38.37097506  38.71927438
  39.07918367  39.41587302  39.75256236  40.12408163  40.48399093
  40.82068027  41.18058957  41.52888889  41.87718821  42.22548753
  42.55056689  42.89886621  43.27038549  43.60707483  43.95537415
  44.30367347  44.66358277  45.02349206  45.33696145  45.70848073
  46.06839002  46.40507937  46.75337868  47.11328798  47.4615873
  47.80988662  48.12335601  48.48326531  48.85478458  49.19147392
  49.52816327  49.87646259  50.24798186  50.57306122  50.90975057
  51.28126984  51.64117914  51.98947846  52.33777778  52.69768707
  53.03437642  53.38267574  53.7077551   54.0676644   54.43918367
  54.77587302  55.11256236  55.47247166  55.83238095  56.18068027
  56.49414966  56.86566893  57.23718821  57.57387755  57.92217687
  58.25886621  58.61877551  58.96707483  59.2921542   59.64045351
  60.01197279  60.37188209  60.69696145  61.05687075  61.40517007
  61.76507937  62.06693878  62.45006803  62.80997732  63.14666667
  63.49496599  63.86648526  64.2031746   64.55147392  64.89977324
  65.25968254  65.59637188  65.9446712   66.29297052  66.65287982
  67.00117914  67.33786848  67.67455782  68.02285714  68.38276644
  68.74267574  69.09097506  69.43927438  69.7875737   70.13587302
  70.46095238  70.84408163  71.18077098  71.51746032  71.86575964
  72.22566893  72.57396825  72.89904762  73.23573696  73.60725624
  73.97877551  74.31546485  74.66376417  75.02367347  75.37197279
  75.70866213  76.0337415   76.39365079  76.76517007  77.10185941
  77.45015873  77.821678    78.15836735  78.48344671  78.82013605
  79.19165533  79.55156463  79.87664399  80.24816327  80.60807256
  80.9447619   81.29306122  81.62975057  82.00126984  82.34956916
  82.67464853  83.02294785  83.4060771   83.74276644  84.0678458
  84.40453515  84.77605442  85.13596372  85.47265306  85.83256236
  86.19247166  86.529161    86.87746032  87.20253968  87.550839
  87.93396825  88.25904762  88.60734694  88.97886621  89.32716553
  89.66385488  89.97732426  90.36045351  90.72036281  91.05705215
  91.40535147  91.76526077  92.11356009  92.46185941  92.78693878
  93.17006803  93.50675737  93.84344671  94.19174603  94.55165533
  94.89995465  95.22503401  95.56172336  95.93324263  96.3047619
  96.64145125  97.00136054  97.34965986  97.69795918  98.03464853
  98.37133787  98.71963719  99.09115646  99.4278458   99.77614512
 100.1476644  100.48435374 100.80943311 101.14612245 101.51764172
 101.87755102 102.20263039 102.57414966 102.93405896 103.2707483
 103.61904762 103.94412698 104.32725624 104.67555556 105.00063492
 105.34893424 105.72045351 106.05714286 106.3938322  106.73052154
 107.10204082 107.46195011 107.79863946 108.15854875 108.51845805
 108.85514739 109.20344671 109.52852608 109.8768254  110.25995465
 110.58503401 110.93333333 111.28163265 111.64154195 111.97823129
 112.30331066 112.67482993 113.02312925 113.38303855 113.73133787
 114.09124717 114.45115646 114.79945578 115.13614512]"
